filename,loan_amount,currency
1995_september_14_737131468285564602_philippines--second-rural-finance-project-fixed-rate-single-currency-loan-_-loan-3939--loan-agreement--conformed.txt,50000000,$
1995_september_21_319841468307147267_turkey--public-financial-management-project-_-loan-3942--loan-agreement--conformed.txt,62000000,$
1996_february_20_214501468035338106_indonesia--second-power-transmission-and-distribution-project-_-loan-3978--loan-agreement--conformed.txt,Error,
1996_february_8_696831468049465165_moldova--first-private-sector-development-project-_-loan-3977--loan-agreement--conformed.txt,25000000,$
1996_january_18_695781468057888949_romania--financial-and-enterprise-sector-adjustment-loan-_-loan-3975--loan-agreement--conformed.txt,170000000,$
1996_january_18_949521468090881196_romania--railway-rehabilitation-project-_-loan-3976--loan-agreement--conformed.txt,120000000,$
1998_may_29_174761468024555334_china--yangzhou-thermal-power-project-_-loan-3718--loan-agreement--1--conformed.txt,350000000,$
1998_may_29_806201468019740340_china--yangzhou-thermal-power-project-_-loan-3718--loan-agreement--2--conformed.txt,4285714600,$
2001_july_3_322571468248956257_loan-agreement-for-loan-4613-hr-conformed.txt,Error,
"2008_july_17_862331468018039982_loan-agreement,-l7531-cn-conformed.txt",50000000,$
"2008_november_11_357611468299187972_loan-agreement,-l7614-mx-conformed.txt",Error,
2009_november_12_114131468252897942_loan-agreement-for-loan-7804-ge-conformed.txt,Error,
2010_october_7_789711468115744714_loan-agreement-for-loan-7930-tn-conformed.txt,Error,
2012_december_18_334251468236371955_official-documents-loan-agreement-for-loan-8177-br-closing-package.txt,700000000,$
2012_february_15_533511468218386526_official-documents-loan-agreement-for-loan-8125-am-closing-package.txt,30000000,$
2012_july_4_856641468296977616_official-documents-loan-agreement-for-loan-8186-pl-closing-package.txt,750000000,EUR
2012_june_18_303491468216590188_official-documents-loan-agreement-for-loan-8135-br-closing-package.txt,100000000,$
2012_june_29_741731468056365955_official-documents-loan-agreement-for-loan-8134-mx-closing-package.txt,300751879,$
