filename,loan_amount,currency
1991_july_5_694741468035355930_conformed-copy--l3347--second-structural-adjustment-loan--loan-agreement.txt,250000000,$
1991_july_8_487281468281733008_conformed-copy--c2252--industrial-pollution-control-project--loan-agreement.txt,124000000,$
1991_june_10_359111468034737164_conformed-copy--c2241--dam-safety-project--loan-agreement.txt,23000000,$
1991_june_10_371051468019792443_conformed-copy--c2226--jiangsu-provincial-transport-project--loan-agreement.txt,100000000,$
1991_june_14_321521468123869811_conformed-copy--l3262--second-rural-electrification-project--agreement-amending-loan-agreement.txt,114000000,$
1991_june_14_751981468287374273_conformed-copy--l3262--second-rural-electrification-project--loan-agreement.txt,114000000,$
1991_june_20_289611468012945433_conformed-copy--c2256--irrigated-agriculture-intensification-project--loan-agreement.txt,147100000,$
1991_june_20_936781468260123642_conformed-copy--l3320--industrial-restructuring-project--loan-agreement.txt,30000000,$
1991_june_25_872341468194635562_conformed-copy--l3352--enterprise-and-financial-sector-adjustment-loan--loan-agreement.txt,350000000,$
1991_june_26_528571468271220789_conformed-copy--l3310--decentralization-and-regional-development-project--loan-agreement.txt,350000000,$
1991_june_26_815011468271251194_conformed-copy--l3357--agricultural-sector-adjustment-loan-ii--loan-agreement.txt,400000000,$
1991_june_28_142671468051236041_conformed-copy--l3386--financial-and-program-management-improvement-project--loan-agreement.txt,100000000,$
1991_june_28_429701468312295733_conformed-copy--l3346--private-investment-credit-project--loan-agreement.txt,100000000,$
1991_june_28_662691468116369316_conformed-copy--l3324--state-and-provincial-roads-project--loan-agreement.txt,100000000,$
1991_june_28_817601468100492360_conformed-copy--l3318--microenterprise-project--loan-agreement.txt,100000000,$
1991_june_3_865181468276358441_conformed-copy--l3315--third-technology-advancement-project--loan-agreement.txt,60000000,$
1991_june_3_991181468082435701_conformed-copy--l3314--vocational-education-project--loan-agreement.txt,30000000,$
1991_june_5_990601468056437545_conformed-copy--l3333--agricultural-management-and-services-project--loan-agreement.txt,10000000,$
1991_march_12_244861468033281545_india--agricultural-development-project-tamil-nadu-_-credit-2215--loan-agreement--conformed.txt,20000000,$
1991_march_12_983761468273040826_conformed-copy--l3293--structural-adjustment-loan--loan-agreement.txt,75000000,$
1991_march_15_436311468015662240_conformed-copy--l3288--shanghai-industrial-development-project--loan-agreement.txt,150000000,$
1991_march_18_359421468286495737_conformed-copy--l3290--public-sector-training-project--loan-agreement.txt,20800000,$
1991_march_21_183671468253242140_conformed-copy--l3301--earthquake-recovery-project--loan-agreement.txt,250000000,$
1991_march_22_692491468292923977_conformed-copy--l3303--second-trade-and-financial-sector-adjustment-loan--loan-agreement.txt,30000000,$
1991_may_14_677361468042936251_conformed-copy--l3306--emergency-recovery-project--loan-agreement.txt,10000000,$
1991_may_22_341181468311158430_conformed-copy--l3308--hospital-restructuring-support-project--loan-agreement.txt,30000000,$
1991_may_22_505201468116672751_conformed-copy--l3307--population-and-family-health-project--loan-agreement.txt,26000000,$
1991_may_24_331221468007280348_conformed-copy--l3299--pilot-public-health-management-project--loan-agreement.txt,16000000,$
1991_may_29_404251468296116099_conformed-copy--l3319--telecommunications-project--loan-agreement.txt,120000000,$
1991_may_2_558961468300836756_conformed-copy--l3309--export-sector-loan--loan-agreement.txt,104000000,$
1991_may_3_191231468043745429_conformed-copy--l3311--second-higher-education-development-project--loan-agreement.txt,150000000,$
1991_may_3_324031468269659604_conformed-copy--l3304--east-java--bali-urban-development-project--loan-agreement.txt,180300000,$
1991_may_3_374971468052775364_conformed-copy--l3298--fifth-population-family-planning-and-safe-motherhood-project--loan-agreement.txt,104000000,$
1991_may_3_475911468258537912_conformed-copy--l3302--provincial-irrigated-agriculture-development-project--loan-agreement.txt,125000000,$
1991_may_3_795321468043745115_conformed-copy--l3305--yogyakarta-upland-area-development-project--loan-agreement.txt,15500000,$
1991_may_7_107521468303622178_conformed-copy--l3230--third-highway-sector-project--loan-agreement-3230-yu.txt,55000000,$
1991_may_7_276491468107079011_conformed-copy--l3231--third-highway-sector-project--loan-agreement-3231-yu.txt,75000000,$
1991_may_7_374751468306855715_conformed-copy--l3234--third-highway-sector-project--loan-agreement-3234-yu.txt,60000000,$
1991_may_7_732861468304780251_conformed-copy--l3235--third-highway-sector-project--loan-agreement-3235-yu.txt,25000000,$
1991_may_7_742371468164648104_conformed-copy--l3232--third-highway-sector-project--loan-agreement-3232-yu.txt,22000000,$
1991_may_7_954661468300588680_conformed-copy--l3233--third-highway-sector-project--loan-agreement-3233-yu.txt,55000000,$
1991_may_9_477771468123870093_conformed-copy--l3283--port-sector-project--kingdom--loan-agreement-1.txt,33000000,$
1991_may_9_830201468060534530_conformed-copy--l3283--port-sector-project--kingdom--loan-agreement-2.txt,99000000,$
1991_november_22_349371468248724153_conformed-copy--l3353--structural-adjustment-loan--loan-agreement.txt,300000000,$
1991_november_22_429921468223190825_conformed-copy--c2305--daguangba-multipurpose-project--loan-agreement.txt,30000000,$
1991_november_26_916971468272053819_egypt--national-drainage-project-_-loan-3417--loan-agreement--conformed.txt,45000000,$
1991_november_27_874101468288598269_conformed-copy--l3335--karachi-port-modernization-project--loan-agreement.txt,91400000,$
1991_november_5_728961468281043121_conformed-copy--l3401--industrial-and-vocational-training-project--loan-agreement.txt,5400000,$
1991_november_6_292721468292861442_conformed-copy--l3402--agricultural-financing-project--loan-agreement.txt,106100000,$
1991_november_7_181191468027641038_conformed-copy--l3398--southeast-coast-paralimni-sewerage-and-drainage-project--loan-agreement-3.txt,6000000,$
1991_november_7_683961468031513598_conformed-copy--l3398--southeast-coast-paralimni-sewerage-and-drainage-project--loan-agreement-1.txt,14700000,$
1991_november_7_684741488895737603_conformed-copy--l3398--southeast-coast-paralimni-sewerage-and-drainage-project--loan-agreement-2.txt,11300000,$
1991_october_25_564911468059709046_conformed-copy--l3403--agriculture-sector-investment-loan--loan-agreement.txt,50000000,$
1991_october_28_355051468015662465_conformed-copy--l3406--fifth-railway-project--loan-agreement.txt,330000000,$
1991_october_4_306161468023664157_conformed-copy--c2303--financial-sector-adjustment-credit--loan-agreement.txt,150000000,$
1991_october_7_990341468094788209_conformed-copy--l3409--health-rehabilitation-project--loan-agreement.txt,150000000,$
1991_september_12_558671468103155868_conformed-copy--l3361--kolubara-b-thermal-power-and-lignite-mine-project--loan-agreement.txt,300000000,$
1991_september_12_578111468101067278_conformed-copy--l3361--kolubara-b-thermal-power-and-lignite-mine-project--loan-agreement-2.txt,300000000,$
1991_september_13_469921468117269129_conformed-copy--l3345--tek-restructuring-project--loan-agreement.txt,300000000,$
1991_september_13_501161468119940760_conformed-copy--l3345--tek-restructuring-project--loan-assumption-agreement-1.txt,40000000,$
