proj_name,countries,max_country,world_region
1994_june_28_165841468237291004_brazil--parana-basic-education-quality-project-_-loan-3766--loan-agreement--conformed.txt,"[['brazil', 'peru', 'united states'], [9, 1, 1]]",brazil,latin amer. & carib
2019_december_10_701581579789087668_official-documents-loan-agreement-for-additional-financing-loan-8913-do-closing-package.txt,"[['dominica', 'dominican republic', 'united states'], [8, 3, 1]]",dominica,latin amer. & carib
"2014_april_9_434221468032968457_official-documents-loan-agreement,-l8341-ga-closing-package.txt","[['gabon', 'united states'], [15, 2]]",gabon,sub-saharan africa
1990_may_15_955111468244536485_india--integrated-watershed-development-plains-project-_-credit-2131--loan-agreement--conformed.txt,"[['india', 'united states'], [5, 2]]",india,asia (ex. near east)
1995_january_31_347191468302943938_tunisia--rural-roads-project-_-loan-3840--loan-agreement--conformed.txt,"[['tunisia', 'united states'], [5, 1]]",tunisia,northern africa
1995_may_16_388981468296174031_russia--urban-transportation-project-_-loan-3885--loan-agreement--conformed.txt,"[['russia', 'united states'], [8, 1]]",russia,c.w. of ind. states
2017_march_7_544991490712950589_official-documents-loan-agreement-for-loan-8649-co-closing-package.txt,"[['peru', 'united states'], [10, 1]]",peru,latin amer. & carib
2019_april_11_547791555533149697_official-documents-loan-agreement-for-loan-8907-lk-closing-package.txt,"[['sri lanka', 'united states'], [6, 1]]",sri lanka,asia (ex. near east)
1994_september_11_265101468105276153_latvia--enterprise-and-financial-sector-restructuring-project-_-loan-3795--loan-agreement--conformed.txt,"[['latvia', 'sweden', 'united states'], [20, 2, 1]]",latvia,baltics
"2014_april_12_930311468024560223_official-documents-loan-agreement,-l8345-eg-closing-package.txt","[['egypt', 'united states'], [5, 3]]",egypt,northern africa
2015_may_25_663581468024264698_official-documents-loan-agreement-for-loan-8480-cn-closing-package.txt,"[['china', 'united states'], [5, 1]]",china,asia (ex. near east)
1994_december_22_148261468302458224_ukraine--rehabilitation-loan-_-loan-3831--loan-agreement--conformed.txt,"[['ukraine', 'united states'], [6, 1]]",ukraine,c.w. of ind. states
2019_december_12_931611577726651104_official-documents-loan-agreement-for-ctf-loan-tf0b0782-closing-package.txt,"[['mali', 'turkey', 'united states'], [1, 10, 2]]",turkey,near east
2019_june_18_891331562178220194_official-documents-loan-agreement-for-loan-8955-ge-closing-package.txt,"[['georgia', 'united states'], [9, 1]]",georgia,c.w. of ind. states
1994_march_25_876541468039030307_jamaica--private-investment-and-export-development-project-_-loan-3720--loan-agreement--conformed.txt,"[['anguilla', 'barbados', 'belize', 'dominica', 'grenada', 'guyana', 'jamaica', 'montserrat', 'united states'], [1, 1, 1, 1, 1, 1, 27, 1, 1]]",jamaica,latin amer. & carib
1995_august_29_292561468097189059_papua-new-guinea--economic-recovery-program-loan-_-loan-3934--loan-agreement--conformed.txt,"[['guinea', 'papua new guinea', 'united states'], [5, 5, 2]]",guinea,sub-saharan africa
2019_october_18_193061571672925103_official-documents-loan-agreement-for-loan-9010-mk-closing-package.txt,"[['macedonia', 'united states'], [7, 1]]",macedonia,eastern europe
1994_may_24_629971468270553372_mauritius--technical-assistance-to-enhance-competiveness-project-_-loan-3736--loan-agreement--conformed.txt,"[['mauritius', 'united states'], [10, 1]]",mauritius,sub-saharan africa
"2014_may_22_913321468305645347_official-documents-loan-agreement-for-loan-8360-tn,-additional-financing-closing-package.txt","[['tunisia', 'united states'], [11, 1]]",tunisia,northern africa
2013_august_22_711601468104365580_official-documents-loan-agreement-for-loan-8275-tr-closing-package.txt,"[['turkey', 'united states'], [4, 1]]",turkey,near east
2015_october_6_671671468090286522_official-documents-loan-agreement-for-loan-8525-mk-closing-package.txt,"[['albania', 'bulgaria', 'macedonia', 'united states'], [1, 1, 2, 1]]",macedonia,eastern europe
