,x,y
2002_september_26_883611468101369749_conformed-copy--c3661--oecs-education-development-project--loan-agreement.txt,-68.610725,-8.993927
2017_july_7_415511500642367300_official-documents-loan-agreement-for-loan-8708-pa-closing-package.txt,27.805689,-17.618042
"2004_september_21_279481468240323138_loan-agreement,-l7231-co--co-integrated-mass-transit-systems--conformed.txt",22.02085,-52.240475
2007_june_21_276911468302441433_loan-agreement-l7452-uy-conformed.txt,-26.158663,46.100212
1996_may_15_180791468295513679_conformed-copy--l3996--transmission-grid-reinforcement-project--currency-pool-loan--loan-agreement-1.txt,62.204647,16.055283
1993_march_23_760041468272992402_conformed-copy--l3574--health-management-project--loan-agreement.txt,-43.73564,-27.890455
2009_december_3_530771468287425231_loan-agreement-for-loan-7734-mu-conformed.txt,26.059288,-4.72358
2010_july_21_633371468055485700_loan-agreement-for-loan-7883-mx-conformed.txt,25.696247,-49.04348
1994_june_3_158861468095350773_conformed-copy--l3745--subic-bay-freeport-project--loan-agreement.txt,32.51387,-40.621086
2016_december_22_321371484775756423_official-documents-loan-agreement-for-loan-8667-ec-closing-package.txt,-59.982563,-1.485837
2010_december_8_126991468287401096_agreement-for-loan-7979-mx-conformed.txt,24.284758,20.588488
1995_march_23_450521468335049833_conformed-copy--c2676--basic-education-reform-project--loan-agreement.txt,-8.053092,27.979824
"2015_december_10_267691468001798123_official-documents-loan-agreement,-l8570-am-closing-package.txt",-35.486095,58.9689
2000_august_11_309881468035483571_conformed-copy--l4559--third-national-highways-project--loan-agreement.txt,12.623993,-62.752823
1994_december_19_754611468042936864_conformed-copy--l3818--agriculture-sector-technical-support-project--loan-agreement.txt,15.189968,-21.403067
1996_june_17_194381468041694155_conformed-copy--l4007--sulawesi-agricultural-area-development-project--loan-agreement.txt,7.3286643,-28.100798
"2007_september_13_272161468052166530_loan-agreement,-l4834-id-conformed.txt",12.169195,-61.336853
1995_july_31_661061468270318813_conformed-copy--l3867--financial-and-enterprises-development-project--loan-agreement.txt,-16.475716,19.23682
2017_june_6_717641502371534841_official-documents-loan-agreement-for-loan-8704-cn-closing-package.txt,31.085571,-14.321766
2004_march_12_227821468110676124_conformed-copy-l7220-loan-agreement.txt,-67.66299,-8.8829155
2017_april_20_860901494338704151_official-documents-loan-agreement-for-loan-8734-gd-closing-package.txt,-7.6881585,-37.086178
2003_february_7_256281468322792171_conformed-copy--l4661--support-for-the-social-development-agency-project--loan-agreement.txt,-7.950884,-7.763054
1997_june_26_312861468228280813_conformed-copy--l4161--heilongjiang-agricultural-development-project--loan-agreement.txt,9.34124,-27.364012
2013_may_1_101071468074933425_official-documents-loan-agreement-for-loan-8239-pa-closing-package.txt,-28.600422,56.505592
"2012_november_30_761661468270595237_official-documents-loan-agreement,-l8216-mx-closing-package.txt",19.540136,21.535084
2012_august_7_247701468028493128_official-documents-loan-agreement-for-loan-8160-cn-closing-package.txt,7.3264375,-8.19264
1991_may_9_830201468060534530_conformed-copy--l3283--port-sector-project--kingdom--loan-agreement-2.txt,27.92078,-44.26254
1997_november_27_410781468295197585_conformed-copy--l4236--roads-ii-project--loan-agreement.txt,20.227106,-69.701195
2007_march_22_343821468304453510_loan-agreement-l7432-tn-conformed.txt,31.709505,3.0354035
"2012_november_16_856351468025750433_official-documents-loan-agreement,-l8184-co-closing-package.txt",-35.8308,60.79014
2006_january_31_994551468007791073_loan-agreement-l7329-br-conformed.txt,-10.654588,-10.056815
1994_june_8_131821468292862746_conformed-copy--l3732--fifth-kabupaten-roads-project--loan-agreement.txt,7.9033394,-64.08834
2009_september_24_160421468240861607_loan-agreement-for-l7739-co-conformed.txt,21.688066,-52.22186
2009_september_4_798791468240592784_loan-agreement-for-loan-7742-co-conformed.txt,30.792608,4.3040953
2017_april_18_399891495048914970_official-documents-loan-agreement-for-loan-8699-ga-closing-package.txt,-41.5652,7.0799932
"1996_september_27_464871468274240164_conformed-copy--l4026--coordination-and-monitoring-of-social-programs,-and-labor-promotion-project--loan-agreement.txt",-40.549915,4.8643646
2011_may_27_679811468095348398_loan-agreement-for-loan-8061-yf-conformed.txt,-22.284983,56.873047
2003_july_24_884791468276867774_conformed-copy--l7166--cutural-heritage-and-urban-development-project--loan-agreement.txt,-4.0117598,-40.862885
1991_october_28_355051468015662465_conformed-copy--l3406--fifth-railway-project--loan-agreement.txt,37.041584,-52.52746
1993_july_1_448611468147313186_conformed-copy--l3537--education-development-project--loan-agreement.txt,-65.758606,-4.543087
1998_february_12_122611468023401816_conformed-copy--c3024--pollution-abatement-project--loan-agreement.txt,-0.028916776,51.41684
2007_july_27_315271468220171116_loan-agreement-l7435-az-conformed.txt,-12.425059,3.5317469
2000_january_19_535251468286496915_conformed-copy--l4525--second-gazelle-restoration-project--loan-agreement.txt,32.669617,-21.47188
2010_december_2_479731468013498706_loan-agreement-for-loan-7958-bz-conformed.txt,-0.500938,0.20724897
1991_july_11_250871468095349511_conformed-copy--l3356--rural-finance-project--loan-agreement.txt,0.19861495,15.709185
1990_january_10_784351468234894668_conformed-copy--l3130--third-agricultural-research-project--loan-agreement.txt,-9.778866,-27.12772
2001_june_13_595171468252295741_conformed-copy--l4603--second-powergrid-system-development-project--loan-agreement.txt,62.132023,13.967814
"2013_december_6_206161468058781660_official-documents-loan-agreement,-l8316-py-closing-package.txt",1.1610193,-21.89335
2010_september_27_512661468230680087_loan-agreement-for-loan-7908-br-conformed.txt,-2.1167696,-14.892261
1994_may_27_306901468246911019_conformed-copy--l3740--district-heating-rehabilitation-project--loan-agreement.txt,41.88356,24.412752
2011_may_4_495011468220802013_agreement-for-loan-7992-ar-conformed.txt,23.607887,-2.5187192
2013_march_15_606491468278355831_official-documents-loan-agreement-for-loan-8230-ma-closing-package.txt,-0.60185516,41.817047
2002_november_7_798191468114881790_conformed-copy--l7111--private-sector-development-project--loan-agreement.txt,-21.70583,9.60019
"2008_february_27_274631468023359282_loan-agreement,-l7498-cr-conformed.txt",29.018847,-23.729807
